Unnamed: 0,Country/Continent,Arrivals,gdp_per_capita,gdp,inflation,unemployment,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,Exchange Rate/TWI,date,TWI,FX_neg,TWI_est
2741,Austria,600,43915.228020857,379546097300.633,0.89656333526032,5.802,0.3156816552289255,0.2675202294376728,0.170726211205572,0.0932909966198914,0.0425074259961077,0.0550650414831506,0.0552084400286797,0.0330431219911912,0.098760626856499,0.2781931783263341,0.4383693536822698,0.0514800778449247,0.0521560995595616,0.0479975417392195,,,,,,,63.8,2015-06-01,63.8,-4.155753190350744,63.8
2742,Austria,1570,43915.228020857,379546097300.633,0.89656333526032,5.802,0.2597927642574053,0.2644086141308673,0.1999936333105193,0.0911550766390246,0.0289525204131981,0.0802362041797316,0.0754611870692536,0.0244799210530504,0.074506183647158,0.2432393716077482,0.4319321310901364,0.0449647444570009,0.1345440654495678,0.0463335826953379,,,,,,,61.4,2015-07-01,61.4,-4.117409835153096,61.4
2743,Austria,1200,43915.228020857,379546097300.633,0.89656333526032,5.802,0.317976764844199,0.2898646647971714,0.1847490986361973,0.0624771393238465,0.0263703342448574,0.0610837266821103,0.0574782714716179,0.0310899780541331,0.0861114014003553,0.2679485839690668,0.468631344271432,0.0465217542759605,0.0606994809628313,0.0389974570662207,,,,,,,60.9,2015-08-01,60.9,-4.109233174715851,60.9
2744,Austria,1180,43915.228020857,379546097300.633,0.89656333526032,5.802,0.2982517482517482,0.2934790209790209,0.1815384615384615,0.0734965034965035,0.0323776223776223,0.0570804195804195,0.0637762237762237,0.0351929229531984,0.084704278046819,0.3021556320914701,0.4642039196489449,0.0384447280546862,0.0356999248238605,0.0395985943810206,,,,,,,59.9,2015-09-01,59.9,-4.092676505121403,59.9
2745,Austria,1440,43915.228020857,379546097300.633,0.89656333526032,5.802,0.3190955576861617,0.2741930329178651,0.1793064876957494,0.0756471716203259,0.037392138063279,0.0571907957813998,0.0571748162352189,0.0373761585170981,0.0861297539149888,0.2522690955576862,0.503147970597635,0.0339725151805688,0.0442953020134228,0.0428092042186001,,,,,,,60.3,2015-10-01,60.3,-4.09933210373314,60.3
2746,Austria,1600,43915.228020857,379546097300.633,0.89656333526032,5.802,0.3336659022545195,0.2809214640974476,0.1755219346576525,0.0719540161420019,0.0381511153468147,0.0531464990916401,0.0466390684099234,0.0343687643327277,0.0934121571313696,0.2415492748012032,0.5104386931530512,0.0403401137683533,0.0444947434255591,0.0353962533877356,,,,,,,61.8,2015-11-01,61.8,-4.1239033644636445,61.8
2747,Austria,2540,43915.228020857,379546097300.633,0.89656333526032,5.802,0.2167376736342253,0.2521745883814849,0.3034771224426397,0.1194137487240935,0.0360693205520791,0.0412284205387653,0.0308991257267119,0.0083101263716146,0.0353152633389177,0.3430340282477727,0.529029967491762,0.0304334801566608,0.0299120169531015,0.0239651174401704,,,,,,,62.7,2015-12-01,62.7,-4.138361447638875,62.7
2748,Austria,1740,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.255909208651729,0.2340208522212148,0.2044586193498251,0.0995499287657039,0.0423844061650045,0.0726589819971506,0.0910180028493718,0.0151858567543064,0.0634470923455511,0.2284354358243751,0.5158334412640849,0.0428862841600828,0.0850602253594094,0.0491516642921901,,,,,,,61.5,2016-01-01,61.5,-4.119037174812472,61.5
2749,Austria,2070,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.2731120321558708,0.2763176018331851,0.1812524260903319,0.0755437572782709,0.0278108213020122,0.0690449656277782,0.0969183957125505,0.0211865467932183,0.0719866770178558,0.2081590744033457,0.5154516541033283,0.0296386266309383,0.1178407753374571,0.0357366457138564,,,,,,,61.4,2016-02-01,61.4,-4.117409835153096,61.4
2750,Austria,1520,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.3033075856605268,0.2865914042384631,0.2005149534561299,0.0740608701393015,0.0270812702185251,0.0504390308311876,0.0580048854558658,0.0214038608815063,0.0739694192832809,0.268611191802889,0.524255948451158,0.0307127578102305,0.0483534475928909,0.0326933741780442,,,,,,,64.4,2016-03-01,64.4,-4.165113633110308,64.4
