Month,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Total (Duration of stay in days),Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,Total (Reason for Journey)
2003-06-01,84040,96430,62440,28880,11950,12350,12170,308270,8750,32030,59850,156500,5460,12480,33190,308270
2003-07-01,97790,114760,92220,45260,13070,21760,30660,415510,17280,36600,71850,197300,8120,42030,42340,415510
2003-08-01,107440,105680,80780,26040,7910,14660,19720,362250,14470,38650,63970,190710,8120,13960,32380,362250
2003-09-01,110600,119700,73930,27930,10480,19130,23830,385600,18260,40410,71760,197360,8600,12940,36270,385600
2003-10-01,130440,118040,86530,37000,14620,21990,26710,435330,12380,45220,79420,230470,9660,15950,42230,435330
2003-11-01,149870,140550,93180,34360,14410,22490,18430,473280,13670,49380,87320,262350,8620,9690,42250,473280
2003-12-01,128850,146360,161010,74440,17930,20260,17760,566600,8580,30310,154120,311020,8530,8130,45910,566600
2004-01-01,115470,111310,77240,36610,15290,24620,39640,420170,4720,32090,74140,219160,12120,34900,43050,420170
2004-02-01,128730,112240,82830,38370,14570,25720,52370,454820,12110,48190,77650,214100,10370,51970,40420,454820
2004-03-01,139180,117970,84300,36380,12480,19840,22130,432280,13140,48990,86710,219250,8360,17260,38570,432280
2004-04-01,120310,124980,84100,25150,12210,16760,19270,402790,10720,35170,89280,202580,8810,16430,39800,402790
2004-05-01,127080,101300,52980,20140,9400,15300,15070,341260,12620,44770,60690,170280,9050,10100,33740,341260
2004-06-01,118550,110190,67170,29720,12230,14360,15060,367280,10340,37700,68900,188380,9050,16420,36500,367280
2004-07-01,114520,118890,114000,50540,14440,28170,26970,467550,15770,40460,86330,243270,6880,53030,21810,467550
2004-08-01,131860,117050,89280,27030,7860,15710,14260,403060,17020,46310,74280,230090,6120,15700,13530,403060
2004-09-01,125790,114530,77240,30010,10720,18260,16960,393510,18140,42450,87470,211980,6130,12210,15150,393510
2004-10-01,145320,117150,92060,37160,15880,20520,19290,447380,16920,46970,92630,248800,7550,15900,18610,447380
2004-11-01,167640,125390,90930,39150,16080,22880,15940,478020,17700,53560,96390,275280,7640,9850,17590,478020
2004-12-01,140570,140610,176580,78130,19450,20970,15090,591390,7760,32710,176430,342970,7210,9300,15020,591390
2005-01-01,141280,97530,90860,46520,17130,28310,35300,456920,14080,36900,90900,244920,8960,38530,22640,456920
2005-02-01,153930,124400,92130,43770,14320,28640,41610,498780,11360,45200,94010,272700,6570,54010,14910,498780
2005-03-01,166940,130110,112260,41340,13850,19060,18530,502090,15520,45330,118340,279410,8600,17710,17180,502090
2005-04-01,140520,117160,77900,27190,12110,16380,15300,406580,13440,43470,90410,220530,6460,15380,16890,406580
2005-05-01,136320,97660,61650,20910,9670,12390,12700,351290,14550,48170,70170,185280,6240,10460,16410,351290
2005-06-01,136420,96060,72140,29850,13930,15080,13530,377010,10250,41850,81770,202910,7430,15830,16980,377010
2005-07-01,133080,120830,117080,52190,15050,28720,30090,497040,16150,45170,90770,254200,9860,57580,23320,497040
2005-08-01,148440,117270,98020,26010,8950,16140,14430,429260,22740,47890,76010,238680,11130,16270,16530,429260
2005-09-01,138800,111740,80650,30490,12180,19230,18990,412070,18690,44640,89300,216190,10450,14670,18120,412070
2005-10-01,156930,119890,96460,34870,15330,20580,17810,461870,16290,50010,92370,255060,13860,15130,19150,461870
2005-11-01,173550,115340,89730,35300,16400,23860,16490,470670,22860,56410,95660,252280,11950,11400,20100,470670
2005-12-01,145290,134840,180490,79230,21010,24140,14250,599250,6770,33740,185650,333520,14010,11140,14420,599250
2006-01-01,138660,106310,92610,46460,19590,26060,31710,461400,6980,38710,89210,256660,14700,35310,19820,461400
2006-02-01,151700,98140,92920,45120,16150,33600,47360,485000,14020,51440,90190,237060,12200,60850,19250,485000
2006-03-01,169440,110910,101940,38550,13480,20630,18510,473440,13730,53620,103700,246760,12690,18180,24760,473440
2006-04-01,142390,121320,95860,29010,13040,17220,16210,435040,12580,43620,107870,226260,12930,16100,15680,435040
2006-05-01,138410,88290,59100,20550,9080,15340,12170,342940,14090,50290,67410,172090,12650,11250,15160,342940
2006-06-01,132980,95160,73370,31860,14590,16130,15580,379660,16590,43670,82450,188360,12850,18070,17660,379660
2006-07-01,122850,117860,109160,52050,15720,30540,30030,478190,19660,49440,88250,227630,14370,57840,21000,478190
2006-08-01,142470,109050,89140,26380,8780,18230,16140,410200,19900,49360,78240,216420,13570,17110,15600,410200
2006-09-01,139650,117100,81180,30660,12380,21950,20530,423460,20070,46520,91620,218430,14440,14730,17650,423460
2006-10-01,162730,122900,92030,36390,15640,22360,20870,472930,20790,53610,96990,251380,15240,16440,18480,472930
2006-11-01,174220,121730,94730,37080,18000,26240,18000,489990,15660,58930,102250,265940,14900,12980,19320,489990
2006-12-01,155160,134560,202140,86310,22600,24320,15800,640870,8920,34530,192590,360600,17950,11420,14860,640870
2007-01-01,132970,94280,89580,46170,20340,30620,37060,451030,10210,43580,89810,229310,16260,40490,21370,451030
2007-02-01,157290,117660,98560,45640,14470,33370,43170,510170,11870,51610,98070,260980,14710,54750,18170,510170
2007-03-01,174360,122680,116850,44100,15320,21990,24720,520020,24300,60480,116920,252540,14710,24640,26420,520020
2007-04-01,146460,119130,89120,29300,13530,18620,18790,434940,15130,47960,101680,220540,14020,18020,17590,434940
2007-05-01,146560,94790,59410,23050,10340,15210,15370,364730,14930,53500,77660,174820,13680,12630,17510,364730
2007-06-01,135110,102610,75950,34840,15440,18580,15440,397960,15800,48240,86170,195360,13790,20320,18290,397960
2007-07-01,132180,110400,111340,51260,14800,32670,30150,482790,21760,49960,91460,226720,13820,57910,21160,482790
2007-08-01,154070,113380,91590,28590,9400,19840,17890,434750,17830,52970,88060,225540,15530,18160,16660,434750
2007-09-01,140550,117560,86990,32980,12870,21540,21620,434110,21930,50500,99760,213200,14620,15700,18390,434110
2007-10-01,162490,116690,93720,39100,15100,21700,20050,468840,19930,57530,99180,239960,14680,16880,20680,468840
2007-11-01,184340,121970,90450,38760,18700,25700,19300,499210,21490,57150,113910,256040,17290,13440,19900,499210
2007-12-01,154790,129650,183500,85850,21510,24360,15160,614830,7940,35600,195860,330010,17530,11730,16170,614830
2008-01-01,129860,88500,89750,46650,19290,30010,36580,440630,9850,42270,89620,218680,18450,41070,20690,440630
