year_month,state,arrivals
2001-01,NSW,176100
2001-01,QLD,107960
2001-01,TAS,3110
2001-01,ACT,3540
2001-01,NT,4480
2001-01,WA,43130
2001-01,VIC,67650
2001-01,SA,10460
2001-02,NSW,184340
2001-02,QLD,98480
2001-02,TAS,3990
2001-02,ACT,4350
2001-02,NT,4870
2001-02,WA,43180
2001-02,VIC,79620
2001-02,SA,10270
2001-03,NSW,174370
2001-03,QLD,113590
2001-03,TAS,3500
2001-03,ACT,3740
2001-03,NT,5740
2001-03,WA,43670
2001-03,VIC,73280
2001-03,SA,10480
2001-04,NSW,164850
2001-04,QLD,115840
2001-04,TAS,2590
2001-04,ACT,4430
2001-04,NT,5960
2001-04,WA,37140
2001-04,VIC,64350
2001-04,SA,9920
2001-05,NSW,139860
2001-05,QLD,98830
2001-05,TAS,1250
2001-05,ACT,3020
2001-05,NT,5690
2001-05,WA,26230
2001-05,VIC,49100
2001-05,SA,5620
2001-06,NSW,142210
2001-06,QLD,133220
2001-06,TAS,1490
2001-06,ACT,2450
2001-06,NT,5400
2001-06,WA,29530
2001-06,VIC,48880
2001-06,SA,6520
2001-07,NSW,173030
2001-07,QLD,139450
2001-07,TAS,1780
2001-07,ACT,5360
2001-07,NT,8220
2001-07,WA,33050
2001-07,VIC,74260
2001-07,SA,11710
2001-08,NSW,154450
2001-08,QLD,125410
2001-08,TAS,1490
2001-08,ACT,3890
2001-08,NT,6660
2001-08,WA,31960
2001-08,VIC,53730
2001-08,SA,6930
2001-09,NSW,142230
2001-09,QLD,114220
2001-09,TAS,1810
2001-09,ACT,3600
2001-09,NT,7200
2001-09,WA,35580
2001-09,VIC,53640
2001-09,SA,7850
2001-10,NSW,149080
2001-10,QLD,102350
2001-10,TAS,2480
2001-10,ACT,2890
2001-10,NT,7060
2001-10,WA,38230
2001-10,VIC,67080
2001-10,SA,9310
2001-11,NSW,154330
2001-11,QLD,97160
2001-11,TAS,3140
2001-11,ACT,2920
2001-11,NT,4910
2001-11,WA,37840
2001-11,VIC,66640
2001-11,SA,9240
2001-12,NSW,224380
2001-12,QLD,124000
2001-12,TAS,5090
2001-12,ACT,4390
2001-12,NT,4120
2001-12,WA,55710
2001-12,VIC,91620
2001-12,SA,13860
2002-01,NSW,158330
2002-01,QLD,90590
2002-01,TAS,5090
2002-01,ACT,3950
2002-01,NT,4520
2002-01,WA,36020
2002-01,VIC,71520
2002-01,SA,9260
2002-02,NSW,179990
2002-02,QLD,102480
2002-02,TAS,5620
2002-02,ACT,4890
2002-02,NT,4720
2002-02,WA,43230
2002-02,VIC,84480
2002-02,SA,11830
2002-03,NSW,182270
2002-03,QLD,112280
2002-03,TAS,3230
2002-03,ACT,4320
2002-03,NT,5120
2002-03,WA,46040
2002-03,VIC,82000
2002-03,SA,11090
2002-04,NSW,152000
2002-04,QLD,98320
2002-04,TAS,1540
2002-04,ACT,4010
